曲名,難易度
From Human Blood [A],12.3
HyperTwist [A],12.3
Limelight [A],12.3
Lisa-RICCIA [A],12.3
OMEGA [A],12.3
Regina vespaE [A],12.3
Space Battleship S4TØ [A],12.3
UNDO THE NIGHT [A],12.3
クレッシェンド [A],12.3
ビビッド ☆＋＊。キラキライム [A],12.3
ベンガル vs. アムール Battle [A],12.3
ラブコメトキドキシリアス [A],12.3
Holic [A],12.4
A [A],12.4
Cheer Train [A],12.4
LAB [L],12.4
Karma [A],12.4
moon_child [A],12.4
One More Lovely [A],12.4
Rise'n Beauty [L],12.4
CaptivAte～浄化～ [L],12.4
garden [L],12.4
rage against usual [L],12.4
Scripted Connection⇒ A mix [L],12.4
Twelfth Style [L],12.4
カゴノトリ～弐式～ [A],12.4
VANESSA [A],12.4
Candy Galy [L],12.4
four pieces of heaven [A],12.4
少年A [A],12.4
THE DEEP STRIKER [L],12.4
Übertreffen [L],12.4
華爛漫 -Flowers- [L],12.4
Y&Co. is dead or alive (CB) [A],12.4
Secrets [L],12.4
thunder HOUSE NATION Remix [L],12.4
Raison d'être～交差する宿命～ [A],12.4
SOLID STATE SQUAD [A],12.4
AIR RAID FROM THA UNDAGROUND [L],12.4
灼熱Beach Side Bunny [A],12.4
quaver♪ [A],12.4
The Sampling Paradise [A],12.4
Todestrieb [A],12.4
YAKSHA [A],12.4
聖人の塔 [A],12.4
恋する☆宇宙戦争っ！！ [L],12.4
neu [A],12.4
Proof of the existence [A],12.4
Timepiece phase II [A],12.4
Timepiece phase II (CN Ver.) [A],12.4
Valanga [A],12.4
Zirkfied [A],12.4
キャトられ♥恋はモ～モク [A],12.4
ΕΛΠΙΣ [L],12.4
Idola [A],12.4
Verflucht [A],12.4
旋律のドグマ～Misérables～ [A],12.4
疾風迅雷 [A],12.4
ALBA -黎明- [L],12.4
Close the World feat.a☆ru [L],12.4
invoker [L],12.4
廿 [L],12.4
海神 [L],12.4
EBONY & IVORY [A],12.4
entelecheia [A],12.4
fallen leaves -IIDX edition- [A],12.4
FANTASTIC THREE [A],12.4
Say YEEEAHH [A],12.4
TOXIC VIBRATION [A],12.4
表裏一体！？怪盗いいんちょの悩み♥ [A],12.4
Cosmic Cat [L],12.4
IMPLANTATION [L],12.4
Dynamite [A],12.4
M4K3 1T B0UNC3 [A],12.4
POSSESSION [A],12.4
refrain [A],12.4
Triple Counter [A],12.4
めいさいアイドル☆あいむちゃん♪ [A],12.4
真 地獄超特急 -HELL or HELL- [A],12.4
STARLIGHT DANCEHALL [L],12.4
Super Duper Racers [L],12.4
ZEPHYRANTHES [L],12.4
Apocalypse [A],12.4
Go Ahead!! [A],12.4
OTENAMI Hurricane [A],12.4
Sky High [A],12.4
イザナミノナゲキ [A],12.4
津軽雪 [A],12.4
Boomy and The Boost [A],12.4
DEATH†ZIGOQ ～怒りの高速爆走野郎～ [A],12.4
DropZ-Line- [A],12.4
"Life Is A Game ft.DD""ナカタ""Metal [A]",12.4
Usual Days-remix [A],12.4
シムルグの目醒め [A],12.4
東京神話 [A],12.4
ChaserXX [L],12.4
O/D*20 [L],12.4
dAuntl3ss [A],12.4
Level One [A],12.4
LOST TECHNOLOGIE [A],12.4
Painful Fate [A],12.4
Unbelief [A],12.4
Xlø [A],12.4
お菓子の王国 [A],12.4
最小三倍完全数 [A],12.4
Ember Lights [L],12.4
GENE [L],12.4
龍王の霊廟(Mausoleum Of The Primal Dragon) [L],12.4
Artist [A],12.4
BEAT PRISONER [A],12.4
Level 2 [A],12.4
ORCA [A],12.4
THE BRAVE MUST DIE [A],12.4
がっつり陰キャ!? 怪盗いいんちょの億劫^^; [A],12.4
Bow shock!! [L],12.4
BLACK or WHITE? [A],12.4
COSMIC RAY [A],12.4
DUAL STRIKER [A],12.4
Ignis†Iræ [A],12.4
Level 3 [A],12.4
LOCUS OF THE TRAVEL [A],12.4
THE PEERLESS UNDER HEAVEN [A],12.4
Viridian [A],12.4
2 Beasts Unchained [A],12.4
ABSOLUTE EVIL [A],12.4
Flying Castle [A],12.4
GRAVITON [A],12.4
PLASMA SOUL NIGHT feat. Nana Takahashi / 709sec. [A],12.4
Silver Bullet [A],12.4
天邪鬼 [A],12.4
逆月 [A],12.4
ミュージック・アワー [L],12.4
[ ]DENTITY [A],12.4
Chaotoxin [A],12.4
Level 4 [A],12.4
LOUDER ROLLING THUNDER [A],12.4
RINИE [A],12.4
The Clown of 24stairs [A],12.4
VØID [A],12.4
VOLAQUAS [A],12.4
儚キ戀ノ幻想譚 [A],12.4
≡+≡ [L],12.4
ちょえちょえまぎか [L],12.4
Glitch N Ride [A],12.4
Million Dollar [A],12.4
SOLAR ECLIPSE [A],12.4
The Last Apocalypse [A],12.4
摩天楼 [A],12.4
INHERITANCE [L],12.4
destination [A],12.4
Drop Syndicate [A],12.4
Flämingo [A],12.4
FlyAway [A],12.4
hora de verdad [A],12.4
Lightspeed [A],12.4
MARLIN [A],12.4
NOIXIA [A],12.4
2 Be Continued [A],12.4
Astra Blaze [A],12.4
chaplet -IIDX re:build- [A],12.4
Digitized Ocean [A],12.4
HEROES [A],12.4
RIZING-GAMERS. [A],12.4
Smintheus [A],12.4
断罪のミメシス [A],12.4
色を喪った街 [A],12.4
DXY! [A],12.5
minimalian [A],12.5
Logic Board [A],12.5
GENOCIDE [A],12.5
Be quiet [L],12.5
spiral galaxy [L],12.5
冥 [A],12.5
INAZUMA [L],12.5
Little Little Princess [L],12.5
DUE TOMORROW [A],12.5
嘆きの樹 [A],12.5
waxing and wanding [L],12.5
Blue Rain [L],12.5
Time to Air [L],12.5
BITTER CHOCOLATE STRIKER [L],12.5
ワルツ第17番 ト短調”大犬のワルツ” [A],12.5
reunion [A],12.5
DIAVOLO [A],12.5
The Limbo [A],12.5
君のハートにロックオン [A],12.5
QUANTUM TELEPORTATION [L],12.5
TITANS RETURN [L],12.5
蛇神 [L],12.5
STULTI [A],12.5
Thor's Hammer [A],12.5
ZED [L],12.5
お米の美味しい炊き方、そしてお米を食べることによるその効果。 [L],12.5
ra'am [A],12.5
VOX UP [A],12.5
煉獄のエルフェリア [A],12.5
Ancient Scapes [L],12.5
HYENA [L],12.5
Flashes [A],12.5
Reflux [A],12.5
少年は空を辿る [A],12.5
Flashes [L],12.5
表裏一体！？怪盗いいんちょの悩み♥ [L],12.5
DIAMOND CROSSING [A],12.5
Grand Chariot [A],12.5
NZM [A],12.5
X [A],12.5
灼熱 Pt.2 Long Train Running [A],12.5
駅猫のワルツ [A],12.5
Violet Pulse [L],12.5
Welcome [L],12.5
紫陽花 -AZISAI- [L],12.5
ECHIDNA [A],12.5
GuNGNiR [A],12.5
焔極OVERKILL [A],12.5
SAMURAI-Scramble [L],12.5
REVOLVER [L],12.5
Dr. Chemical & Killing Machine [A],12.5
Necroxis Girl [A],12.5
The Rebellion of Sequencer [A],12.5
CODE:Ø [L],12.5
Everlasting Message [A],12.5
Inferno of Fomalhaut [A],12.5
Smashing Wedge [A],12.5
THE F∀UST [A],12.5
魅惑のYUMMYスイーツ [A],12.5
-65℃ [A],12.5
∀ [A],12.5
MEGAERA [A],12.5
二人ノ廃城幽踊宴 [A],12.5
伐折羅-vajra- [A],12.5
閠槞彁の願い [A],12.5
Arkadia [A],12.5
hard-wired [A],12.5
RAGE feat.H14 of LEONAIR [A],12.5
WHA [A],12.5
Bad Encryption [A],12.5
suspicions [A],12.5
栄冠のカンパネラ [A],12.5
Ambivalent Vermilia [A],12.5
CADENZA [A],12.5
Demon March [A],12.5
Level 5 [A],12.5
Vulnerability [A],12.5
Submerge Serenade [L],12.5
Cross Fire [A],12.5
God Mind [A],12.5
uən [A],12.5
Without Heaven [A],12.5
アラビアン ハイパー ナイト [A],12.5
スキッテイエェエエェ!!!! [A],12.5
天使のカンタータ -Cantata of Angels- [A],12.5
⁽⁽ଘ( ˙꒳˙ )ଓ⁾⁾ beyond reason [A],12.5
Amor∞Fati [A],12.5
Dolphin Kick [A],12.5
fixer [A],12.5
FiZZλ_PØT!0И [A],12.5
Iridescent Memories [A],12.5
PERFECT GREAT!! [A],12.5
RUINA [A],12.5
サタデーナイト☆ギャロップ [A],12.5
quasar [A],12.6
ピアノ協奏曲第１番”蠍火” [A],12.6
CONTRACT [L],12.6
TRANOID [L],12.6
VANESSA [L],12.6
MENDES [A],12.6
PARANOiA ～HADES～ [A],12.6
"Anisakis -somatic mutation type""Forza""- [L]",12.6
Do it!! Do it!! [L],12.6
four pieces of heaven [L],12.6
卑弥呼 [A],12.6
Bad Maniacs [A],12.6
SOLID STATE SQUAD [L],12.6
PARADISE LOST [A],12.6
天空の夜明け [A],12.6
Confiserie [A],12.6
Elemental Creation [A],12.6
Saturn [L],12.6
IX [A],12.6
Sigmund [A],12.6
Elektrick U-Phoria [L],12.6
Verflucht [L],12.6
疾風迅雷 [L],12.6
共鳴遊戯の華 [A],12.6
#The_Relentless [L],12.6
EBONY & IVORY [L],12.6
千年ノ理 [L],12.6
GOBBLE [H],12.6
CODE:1 [revision1.0.1] [A],12.6
SEQUENCE CAT [A],12.6
EMERALDAS [A],12.6
HYPE THE CORE [A],12.6
Initiation [A],12.6
Carmina [A],12.6
X-DEN [A],12.6
CoMAAAAAAA [L],12.6
Urban Constellations [L],12.6
ピアノ協奏曲第1番”蠍火” (BlackY Remix) [A],12.6
LIGHTNING STRIKES [L],12.6
Lost Souls [L],12.6
